iter	Passed	Remaining
1123	39124	308958
1124	39157	308912
1125	39191	308866
1126	39226	308833
1127	39258	308777
1128	39292	308739
1129	39327	308702
1130	39367	308712
1131	39404	308692
1132	39438	308649
1133	39470	308596
1134	39504	308551
1135	39539	308517
1136	39573	308477
1137	39615	308503
1138	39648	308450
1139	39681	308404
1140	39716	308368
1141	39748	308309
1142	39782	308268
1143	39817	308236
1144	39849	308179
1145	39882	308133
1146	39915	308087
1147	39960	308126
1148	39995	308094
1149	40028	308047
1150	40063	308011
1151	40101	307998
1152	40250	308844
1153	40285	308807
1154	40323	308800
1155	40364	308809
1156	40400	308782
1157	40434	308743
1158	40470	308713
1159	40503	308667
1160	40538	308629
1161	40571	308577
1162	40606	308548
1163	40659	308649
1164	40694	308617
1165	40731	308598
1166	40765	308554
1167	40797	308492
1168	40834	308480
1169	40876	308494
1170	40912	308464
1171	40951	308466
1172	40998	308522
1173	41035	308503
1174	41069	308458
1175	41100	308391
1176	41131	308326
1177	41166	308293
1178	41201	308262
1179	41239	308250
1180	41349	308772
1181	41383	308730
1182	41419	308701
1183	41457	308693
1184	41492	308655
1185	41524	308598
1186	41556	308540
1187	41588	308484
1188	41622	308442
1189	41658	308411
1190	41690	308358
1191	41724	308313
1192	41755	308247
1193	41786	308184
1194	41823	308161
1195	41871	308224
1196	41903	308164
1197	41939	308142
1198	41979	308142
1199	42012	308092
1200	42072	308237
1201	42105	308190
1202	42147	308207
1203	42183	308175
1204	42215	308122
1205	42251	308093
1206	42285	308052
1207	42318	308000
1208	42427	308504
1209	42461	308458
1210	42492	308395
1211	42525	308343
1212	42566	308352
1213	42599	308304
1214	42630	308241
1215	42660	308169
1216	42693	308117
1217	42726	308064
1218	42756	307992
1219	42790	307949
1220	42824	307906
1221	42854	307838
1222	42888	307792
1223	42921	307744
1224	42953	307689
1225	42989	307660
1226	43024	307620
1227	43055	307559
1228	43088	307506
1229	43120	307452
1230	43151	307387
1231	43193	307401
1232	43225	307348
1233	43258	307295
1234	43294	307266
1235	43331	307245
1236	43367	307217
1237	43409	307229
1238	43521	307743
1239	43564	307758
1240	43601	307736
1241	43631	307672
1242	43669	307651
1243	43704	307619
1244	43737	307568
1245	43770	307515
1246	43804	307472
1247	43841	307453
1248	43887	307494
1249	43920	307440
1250	43952	307384
1251	44022	307593
1252	44055	307544
1253	44088	307492
1254	44119	307428
1255	44149	307359
1256	44180	307296
1257	44212	307237
1258	44247	307203
1259	44281	307160
1260	44314	307109
1261	44346	307050
1262	44376	306983
1263	44409	306929
1264	44442	306883
1265	44474	306826
1266	44519	306855
1267	44692	307774
1268	44726	307729
1269	44772	307767
1270	44812	307767
1271	44860	307817
1272	44896	307786
1273	44929	307736
1274	44965	307705
1275	45000	307667
1276	45033	307620
1277	45084	307686
1278	45119	307652
1279	45153	307609
1280	45191	307590
1281	45222	307526
1282	45255	307474
1283	45290	307440
1284	45328	307424
1285	45366	307407
1286	45401	307367
1287	45436	307329
1288	45472	307303
1289	45506	307256
1290	45552	307291
1291	45592	307287
1292	45623	307228
1293	45658	307188
1294	45780	307739
1295	45824	307757
1296	45856	307702
1297	45887	307637
1298	45921	307595
1299	45951	307523
1300	45983	307463
1301	46024	307464
1302	46056	307406
1303	46085	307328
1304	46115	307262
1305	46149	307217
1306	46183	307173
1307	46214	307107
1308	46247	307056
1309	46280	307003
1310	46311	306938
1311	46343	306885
1312	46377	306840
1313	46408	306776
1314	46442	306729
1315	46473	306668
1316	46503	306600
1317	46537	306557
1318	46568	306492
1319	46607	306477
1320	46638	306416
1321	46669	306350
1322	46700	306290
1323	46731	306225
1324	46766	306186
1325	46797	306126
1326	46920	306661
1327	46953	306613
1328	46989	306582
1329	47022	306527
1330	47055	306476
1331	47087	306419
1332	47154	306591
1333	47184	306520
1334	47216	306465
1335	47246	306394
1336	47279	306345
1337	47309	306273
1338	47341	306215
1339	47375	306170
1340	47405	306102
1341	47433	306021
1342	47464	305955
1343	47495	305895
1344	47526	305830
1345	47559	305777
1346	47591	305722
1347	47621	305652
1348	47656	305616
1349	47693	305588
1350	47726	305541
1351	47761	305505
1352	47791	305437
1353	47824	305385
1354	47857	305331
1355	47890	305282
1356	48018	305842
1357	48053	305804
1358	48084	305738
1359	48116	305682
1360	48150	305638
1361	48182	305578
1362	48215	305526
1363	48247	305475
1364	48278	305410
1365	48311	305362
1366	48341	305291
1367	48372	305224
1368	48404	305168
1369	48449	305193
1370	48501	305263
1371	48538	305240
1372	48567	305163
1373	48595	305080
1374	48623	305002
1375	48655	304945
1376	48685	304877
1377	48717	304821
1378	48749	304766
1379	48783	304717
1380	48817	304676
1381	48848	304613
1382	48880	304558
1383	48912	304504
1384	48942	304434
1385	48977	304397
1386	49012	304356
1387	49159	305017
1388	49198	305004
1389	49237	304986
1390	49269	304932
1391	49300	304869
1392	49331	304808
1393	49363	304752
1394	49401	304728
1395	49433	304674
1396	49474	304672
1397	49515	304675
1398	49545	304606
1399	49580	304564
1400	49616	304535
1401	49651	304496
1402	49683	304441
1403	49717	304397
1404	49750	304345
1405	49783	304295
1406	49818	304260
1407	49850	304200
1408	49880	304131
1409	49915	304097
1410	49949	304053
1411	49982	304003
1412	50012	303934
1413	50042	303863
1414	50075	303817
1415	50108	303764
1416	50232	304266
1417	50269	304241
1418	50304	304203
1419	50341	304174
1420	50376	304135
1421	50410	304096
1422	50446	304059
1423	50483	304034
1424	50517	303992
1425	50548	303928
1426	50580	303873
1427	50613	303823
1428	50645	303767
1429	50679	303722
1430	50712	303670
1431	50744	303617
1432	50774	303546
1433	50803	303476
1434	50835	303417
1435	50866	303356
1436	50897	303294
1437	50927	303225
1438	50955	303147
1439	50987	303093
1440	51019	303039
1441	51051	302980
1442	51081	302914
1443	51112	302850
1444	51143	302791
1445	51173	302725
1446	51208	302685
1447	51330	303160
1448	51364	303119
1449	51403	303101
1450	51437	303058
1451	51470	303010
1452	51512	303014
1453	51545	302965
1454	51579	302920
1455	51614	302880
1456	51652	302857
1457	51685	302811
1458	51728	302820
1459	51759	302759
